'1691', 'Bingo', 'mobilebingo'
'1692', 'Slots', 'slots'
'1693', 'Table', 'classic'
'1694', 'Poker Games', 'poker'
'1695', 'Fun Games', 'fun'
'1696', 'Bingo', 'ball'
'1697', 'Scratch Cards', 'scratch'
'1698', 'Virtual Games', 'virtual'
'1699', 'Favourite', 'favourite'
'1700', 'Top Games', 'top'
'1701', 'Jackpot', 'Jackpots'
'1702', 'Top Games', 'mobilepopular'
'1703', 'Slot Games', 'mobile-slots'
'1704', ' Bingo Games', 'mobilebingo'
'1705', 'Live casino', 'live'
'1706', 'New Games', 'new'
'1707', 'Blackjack', 'blackjack'
'1708', 'Roulette', 'roulette'
'1709', 'Fun & Scratch', 'mobilefun'
'1710', 'All', 'all'
'1711', 'New Games', 'mobilenew'
'1712', 'Table Games', 'mobiletable'
'1713', 'Jackpot Games', 'mobilejackpots'
'1714', 'All Games', 'mobileall'
'1715', 'unpublished', 'unpublished'
'1716', 'Baccarat', 'baccarat'
'1723', 'Incoming', 'incoming'
'1724', 'Incoming', 'incoming'
'1725', 'Incoming', 'incoming'
'1727', 'Jackpots', 'mobilejackpots'
'1728', 'Live Casino', 'mobilelive'
'1729', 'Slots', 'slots'
'1730', 'Table', 'classic'
'1731', 'Poker Games', 'poker'
'1732', 'Fun Games', 'fun'
'1733', 'Bingo', 'ball'
'1734', 'Scratch Cards', 'scratch'
'1735', 'Virtual Games', 'virtual'
'1736', 'Favourite', 'favourite'
'1737', 'Top Games', 'top'
'1738', 'Jackpot', 'jackpots'
'1739', 'Top Games', 'mobilepopular'
'1740', 'Slot Games', 'mobile-slots'
'1741', ' Bingo Games', 'mobilebingo'
'1742', 'Live casino', 'live'
'1743', 'New Games', 'new'
'1744', 'Blackjack', 'blackjack'
'1745', 'Roulette', 'roulette'
'1746', 'Fun & Scratch', 'mobilefun'
'1748', 'New Games', 'mobilenew'
'1749', 'Table Games', 'mobiletable'
'1750', 'Jackpot Games', 'mobilejackpots'
'1752', 'Baccarat', 'baccarat'
'1753', 'Incoming', 'incoming'
'1761', 'Live Casino', 'mobilelive'
'1762', 'Live Casino', 'mobilelive'
'1763', 'Live Casino', 'live'
'1764', 'Live Casino', 'live'
'1765', 'Live Casino', 'mobilelive'
'1766', 'Live Casino', 'mobilelive'
'1767', 'Live Casino', 'mobilelive'
'1768', 'Live', 'mobilelive'
'1769', 'Top Games Additional', 'top-additional'
'1770', 'Top2', 'top2'
'1771', 'Live', 'mobilelive'
'1772', 'Live Casino', 'mobilelive'
'1773', 'Live Casino', 'mobilelive'
'1774', 'Slots', 'slots'
'1775', 'Table', 'classic'
'1776', 'Poker Games', 'poker'
'1777', 'Fun Games', 'fun'
'1778', 'Bingo', 'ball'
'1779', 'Scratch Cards', 'scratch'
'1780', 'Virtual Games', 'virtual'
'1781', 'Favourite', 'favourite'
'1782', 'Top Games', 'top'
'1783', 'Jackpot', 'Jackpots'
'1784', 'Top Games', 'mobilepopular'
'1785', 'Slot Games', 'mobile-slots'
'1786', ' Bingo Games', 'mobilebingo'
'1787', 'Live casino', 'live'
'1788', 'New Games', 'new'
'1789', 'Blackjack', 'blackjack'
'1790', 'Roulette', 'roulette'
'1791', 'Fun & Scratch', 'mobilefun'
'1792', 'All', 'all'
'1793', 'New Games', 'mobilenew'
'1794', 'Table Games', 'mobiletable'
'1795', 'Jackpot Games', 'mobilejackpots'
'1796', 'All Games', 'mobileall'
'1797', 'Baccarat', 'baccarat'
'1798', 'Incoming', 'incoming'
'1805', 'Jackpot Slot Games', 'mobilejackpots'
'1806', 'Jackpot Slots', 'mobilejackpots'
'1807', 'Slots', 'mobile'
'1808', 'Fun Games', 'mobilefun'
'1809', 'Progressive Jackpots', 'mobilejackpots'
'1810', 'Slots', 'mobile'
'1811', 'Jackpots', 'mobilejackpots'
'1812', 'Pokies', 'mobile'
'1813', 'Jackpot Games', 'mobilejackpots'
'1814', 'Jackpots', 'mobilejackpots'
'1815', 'Jackpots', 'mobilejackpots'
'1816', 'Jackpots', 'mobilejackpots'
'1817', 'Slots', 'slots'
'1818', 'Table', 'classic'
'1819', 'Poker Games', 'poker'
'1820', 'Fun Games', 'fun'
'1821', 'Bingo', 'ball'
'1822', 'Scratch Cards', 'scratch'
'1823', 'Virtual Games', 'virtual'
'1824', 'Favourite', 'favourite'
'1825', 'Top Games', 'top'
'1826', 'Jackpots', 'Jackpots'
'1827', 'Top Games', 'mobilepopular'
'1828', 'Slot Games', 'mobile-slots'
'1829', ' Bingo Games', 'mobilebingo'
'1830', 'Live casino', 'live'
'1831', 'New Games', 'new'
'1832', 'Blackjack', 'blackjack'
'1833', 'Roulette', 'roulette'
'1834', 'Fun & Scratch', 'mobilefun'
'1835', 'New Games', 'mobilenew'
'1836', 'Table Games', 'mobiletable'
'1837', 'Jackpot Games', 'mobilejackpots'
'1838', 'Baccarat', 'baccarat'
'1839', 'Incoming', 'incoming'
'1848', 'Slots', 'slots'
'1849', 'Table', 'classic'
'1850', 'Poker Games', 'poker'
'1851', 'Fun Games', 'fun'
'1852', 'Bingo', 'ball'
'1853', 'Scratch Cards', 'scratch'
'1854', 'Virtual Games', 'virtual'
'1855', 'Favourite', 'favourite'
'1856', 'Top Games', 'top'
'1857', 'Jackpot', 'Jackpots'
'1858', 'Top Games', 'mobilepopular'
'1859', 'Slot Games', 'mobile-slots'
'1860', ' Bingo Games', 'mobilebingo'
'1861', 'Live casino', 'live'
'1862', 'New Games', 'new'
'1863', 'Blackjack', 'blackjack'
'1864', 'Roulette', 'roulette'
'1865', 'Fun & Scratch', 'mobilefun'
'1866', 'All', 'all'
'1867', 'New Games', 'mobilenew'
'1868', 'Table Games', 'mobiletable'
'1869', 'Jackpot Games', 'mobilejackpots'
'1870', 'All Games', 'mobileall'
'1871', 'Baccarat', 'baccarat'
'1872', 'Incoming', 'incoming'
'1947', 'Slots', 'slots'
'1948', 'Table', 'classic'
'1949', 'Poker', 'poker'
'1950', 'Fun', 'fun'
'1951', 'Ball', 'ball'
'1952', 'New', 'new'
'1953', 'Virtual', 'virtual'
'1954', 'Slot Games', 'mobile'
'1955', 'Top Games', 'top'
'1956', 'Table Games', 'mobiletable'
'1957', 'Top Games', 'mobilepopular'
'1958', 'Jackpots', 'jackpots'
'1959', 'Roulette', 'roulette'
'1960', 'Blackjack', 'blackjack'
'1961', 'Live Casino', 'live'
'1962', 'casino', 'casino'
'1963', 'Fun & Scratch', 'mobilefun'
'1964', 'New Games', 'mobilenew'
'1965', 'Bingo', 'mobilebingo'
'1966', 'test', 'test'
'1967', 'test-other', 'test-other'
'1968', 'Hidden', 'hidden'
'1969', 'unpublished', 'unpublished'
'1970', 'Live Casino', 'mobilelive'
'1971', 'Jackpot Games', 'mobilejackpots'
'1978', 'Slots', 'slots'
'1980', 'Poker', 'poker'
'1981', 'Fun', 'fun'
'1982', 'Ball', 'ball'
'1983', 'New', 'new'
'1984', 'Virtual', 'virtual'
'1985', 'Slot Games', 'mobile'
'1986', 'Top Games', 'top'
'1987', 'Table Games', 'mobiletable'
'1988', 'Most popular', 'mobilepopular'
'1989', 'Jackpots', 'jackpots'
'1990', 'Roulette', 'roulette'
'1991', 'Blackjack', 'blackjack'
'1993', 'casino', 'casino'
'1994', 'Fun & Scratch', 'mobilefun'
'1995', 'New Games', 'mobilenew'
'1996', 'Bingo', 'mobilebingo'
'1997', 'test', 'test'
'1998', 'test-other', 'test-other'
'1999', 'Hidden', 'hidden'
'2000', 'unpublished', 'unpublished'
'2001', 'Live Casino', 'mobilelive'
'2002', 'Jackpot Games', 'mobilejackpots'
'2009', 'Live Blackjack', 'liveblackjack'
'2010', 'All Blackjack', 'allblackjack'
'2011', 'All Roulette', 'allroulette'
'2012', 'Live Roulette', 'liveroulette'
'2013', 'Slots', 'slots'
'2014', 'Table', 'classic'
'2015', 'Poker Games', 'poker'
'2016', 'Fun Games', 'fun'
'2017', 'Bingo', 'ball'
'2018', 'Scratch Cards', 'scratch'
'2019', 'Virtual Games', 'virtual'
'2020', 'Favourite', 'favourite'
'2021', 'Top Games', 'top'
'2022', 'Jackpot', 'Jackpots'
'2023', 'Top Games', 'mobilepopular'
'2024', 'Slot Games', 'mobile-slots'
'2025', ' Bingo Games', 'mobilebingo'
'2026', 'Live casino', 'live'
'2027', 'New Games', 'new'
'2028', 'Blackjack', 'blackjack'
'2029', 'Roulette', 'roulette'
'2030', 'Fun & Scratch', 'mobilefun'
'2031', 'All', 'all'
'2032', 'New Games', 'mobilenew'
'2033', 'Table Games', 'mobiletable'
'2034', 'Jackpot Games', 'mobilejackpots'
'2035', 'All Games', 'mobileall'
'2036', 'Baccarat', 'baccarat'
'2037', 'Incoming', 'incoming'
'2038', 'High Stake', 'highstake'
'2039', 'Jackpots', 'jackpots'
'2040', 'Classic Slots', 'mobileclassic'
'2041', 'Scratch Cards', 'mobilescratch'
'2042', 'Misc', 'mobilespecial'
'2043', 'Live Casino', 'livecasino'
'2044', 'Table', 'tablegames'
'2045', 'home', 'home'
'2048', 'Latest Arrivals', 'mobilelatestarrivals'
'2049', 'Staff Picks', 'mobilestaffspicks'
'2050', 'Slots', 'slots'
'2051', 'Table', 'classic'
'2052', 'Poker Games', 'poker'
'2053', 'Fun Games', 'fun'
'2054', 'Bingo', 'ball'
'2055', 'Scratch Cards', 'scratch'
'2056', 'Virtual Games', 'virtual'
'2057', 'Favourite', 'favourite'
'2058', 'Top Games', 'top'
'2059', 'Jackpot', 'Jackpots'
'2060', 'Top Games', 'mobilepopular'
'2061', 'Slot Games', 'mobile-slots'
'2062', ' Bingo Games', 'mobilebingo'
'2063', 'Live casino', 'live'
'2064', 'New Games', 'new'
'2065', 'Blackjack', 'blackjack'
'2066', 'Roulette', 'roulette'
'2067', 'Fun & Scratch', 'mobilefun'
'2068', 'All', 'all'
'2069', 'New Games', 'mobilenew'
'2070', 'Table Games', 'mobiletable'
'2071', 'Jackpot Games', 'mobilejackpots'
'2072', 'All Games', 'mobileall'
'2073', 'Baccarat', 'baccarat'
'2074', 'Incoming', 'incoming'
'2076', 'Movies and TV', 'moviesmobile'
'2077', 'Music', 'musicdesktop'
'2078', 'Music', 'musicmobile'
'2079', 'Romantic', 'romanticdesktop'
'2080', 'Romantic', 'romanticmobile'
'2083', 'Movies and TV', 'moviesdesktop'
'2086', 'Animals', 'animalsdesktop'
'2087', 'Animals', 'animalsmobile'
'2088', 'Slots', 'slots'
'2089', 'Favourite', 'favourite'
'2090', 'Jackpot', 'Jackpots'
'2091', 'Top Games', 'mobilepopular'
'2092', 'Slot Games', 'mobile'
'2093', ' Table Games', 'mobiletable'
'2094', 'Live Casino', 'live'
'2095', 'Table', 'table'
'2096', 'Other', 'other'
'2097', 'Classic Slots', 'classicslots'
'2098', 'All', 'all'
'2099', 'popular', 'Popular'
'2100', 'New', 'new'
'2101', 'Fun & Scratch', 'mobilefun'
'2102', 'New Games', 'mobilenew'
'2103', 'home', 'home'
'2104', 'unpublished', 'unpublished'
'2105', 'Live', 'mobilelive'
'2106', 'Jackpots', 'mobilejackpots'
'2119', 'fun', 'fun'
'2120', 'Classic', 'classic'
'2121', 'Slots', 'slots'
'2122', 'Table', 'classic'
'2123', 'Poker Games', 'poker'
'2124', 'Fun Games', 'fun'
'2125', 'Bingo', 'ball'
'2126', 'Scratch Cards', 'scratch'
'2127', 'Virtual Games', 'virtual'
'2128', 'Favourite', 'favourite'
'2129', 'Top Games', 'top'
'2130', 'Jackpot', 'Jackpots'
'2131', 'Top Games', 'mobilepopular'
'2132', 'Slot Games', 'mobile-slots'
'2133', ' Bingo Games', 'mobilebingo'
'2134', 'Live casino', 'live'
'2135', 'New Games', 'new'
'2136', 'Blackjack', 'blackjack'
'2137', 'Roulette', 'roulette'
'2138', 'Fun & Scratch', 'mobilefun'
'2139', 'All', 'all'
'2140', 'New Games', 'mobilenew'
'2141', 'Table Games', 'mobiletable'
'2142', 'Jackpot Games', 'mobilejackpots'
'2143', 'All Games', 'mobileall'
'2144', 'Baccarat', 'baccarat'
'2145', 'Incoming', 'incoming'
'2146', 'Collection Music', 'collectionmusicdesktop'
'2147', 'Collection Music', 'collectionmusicmobile'
'2148', 'Collection Fairytales', 'collectionfairydesktop'
'2149', 'Collection Fairytales', 'collectionfairymobile'
'2150', 'Collection Movies and TV', 'collectionmoviesmobile'
'2151', 'Collection Movies and TV', 'collectionmoviesdesktop'
'2152', 'Collection Fruits and Food', 'collectionfruitdesktop'
'2153', 'Collection Fruits and Food', 'collectionfruitmobile'
'2154', 'Collection Animals', 'collectionanimalsdesktop'
'2155', 'Collection Animals', 'collectionanimalsmobile'
'2156', 'Collection Summer', 'collectionseasondesktop'
'2157', 'Collection Summer', 'collectionseasonmobile'
'2158', 'Our Selection', 'ourselectionmobile'
